I2C Interface
Sample, TimeStamp(ms), Temperature(deg C), Pressure(Pa), Humidity(%), Gas resistance(ohm), Gas Index, Status
1, 1404985565, 22.64, 99584.56, 42.80, 167429.69, 0, 0xa0
2, 1404985768, 23.13, 99572.69, 42.82, 11200.56, 0, 0xb0
3, 1404985972, 23.92, 99582.56, 42.79, 10847.46, 0, 0xb0
4, 1404986175, 24.40, 99585.71, 42.71, 11004.13, 0, 0xb0
5, 1404986379, 24.64, 99593.36, 42.59, 11107.25, 0, 0xb0
6, 1404986583, 24.80, 99594.81, 42.47, 11259.68, 0, 0xb0
7, 1404986786, 24.90, 99598.12, 42.32, 11514.93, 0, 0xb0
8, 1404986990, 25.00, 99599.63, 42.19, 11602.61, 0, 0xb0
9, 1404987194, 25.06, 99598.36, 42.06, 12036.86, 0, 0xb0
10, 1404987397, 25.12, 99597.63, 41.92, 12188.15, 0, 0xb0
11, 1404987601, 25.17, 99600.18, 41.79, 12336.16, 0, 0xb0
12, 1404987804, 25.21, 99598.82, 41.68, 12509.77, 0, 0xb0
13, 1404988008, 25.24, 99599.22, 41.56, 12779.55, 0, 0xb0
14, 1404988212, 25.28, 99598.96, 41.45, 12997.56, 0, 0xb0
15, 1404988415, 25.31, 99599.62, 41.36, 13157.89, 0, 0xb0
16, 1404988619, 25.34, 99602.70, 41.26, 13422.82, 0, 0xb0
17, 1404988822, 25.36, 99599.83, 41.17, 13663.54, 0, 0xb0
18, 1404989026, 25.38, 99599.95, 41.07, 13822.89, 0, 0xb0
19, 1404989230, 25.39, 99600.06, 41.00, 14022.79, 0, 0xb0
20, 1404989433, 25.41, 99598.91, 40.91, 14314.47, 0, 0xb0
21, 1404989637, 25.43, 99599.05, 40.86, 14509.18, 0, 0xb0
22, 1404989841, 25.45, 99601.32, 40.79, 14709.26, 0, 0xb0
23, 1404990044, 25.46, 99599.80, 40.73, 15009.38, 0, 0xb0
24, 1404990248, 25.46, 99596.11, 40.65, 15115.73, 0, 0xb0
25, 1404990451, 25.48, 99597.88, 40.60, 15410.55, 0, 0xb0
26, 1404990655, 25.49, 99597.05, 40.55, 15647.92, 0, 0xb0
27, 1404990859, 25.50, 99596.12, 40.50, 15892.72, 0, 0xb0
28, 1404991062, 25.52, 99597.45, 40.44, 16108.73, 0, 0xb0
29, 1404991266, 25.52, 99598.20, 40.41, 16469.38, 0, 0xb0
30, 1404991470, 25.53, 99595.27, 40.35, 16662.33, 0, 0xb0
31, 1404991673, 25.54, 99596.07, 40.32, 16819.97, 0, 0xb0
32, 1404991877, 25.55, 99597.88, 40.28, 17062.12, 0, 0xb0
33, 1404992080, 25.56, 99596.78, 40.25, 17353.58, 0, 0xb0
34, 1404992284, 25.56, 99597.16, 40.22, 17524.64, 0, 0xb0
35, 1404992488, 25.57, 99596.67, 40.17, 17655.17, 0, 0xb0
36, 1404992691, 25.58, 99596.85, 40.16, 17877.10, 0, 0xb0
37, 1404992895, 25.59, 99595.54, 40.12, 18166.34, 0, 0xb0
38, 1404993098, 25.60, 99594.90, 40.10, 18369.69, 0, 0xb0
39, 1404993302, 25.60, 99596.84, 40.06, 18593.84, 0, 0xb0
40, 1404993506, 25.61, 99596.72, 40.04, 18790.37, 0, 0xb0
41, 1404993709, 25.62, 99595.96, 40.02, 19024.97, 0, 0xb0
42, 1404993913, 25.62, 99596.00, 39.99, 19196.16, 0, 0xb0
43, 1404994117, 25.63, 99593.60, 39.96, 19405.70, 0, 0xb0
44, 1404994320, 25.63, 99596.02, 39.94, 19601.84, 0, 0xb0
45, 1404994524, 25.64, 99596.17, 39.91, 19857.28, 0, 0xb0
46, 1404994727, 25.65, 99595.01, 39.88, 20100.50, 0, 0xb0
47, 1404994931, 25.66, 99597.58, 39.86, 20195.64, 0, 0xb0
48, 1404995135, 25.66, 99595.18, 39.84, 20506.25, 0, 0xb0
49, 1404995338, 25.67, 99593.74, 39.82, 20665.16, 0, 0xb0
50, 1404995542, 25.68, 99597.16, 39.81, 20765.74, 0, 0xb0
51, 1404995745, 25.68, 99595.76, 39.79, 21094.27, 0, 0xb0
52, 1404995949, 25.69, 99594.30, 39.77, 21262.46, 0, 0xb0
53, 1404996153, 25.69, 99595.86, 39.75, 21347.56, 0, 0xb0
54, 1404996356, 25.70, 99596.56, 39.73, 21541.57, 0, 0xb0
55, 1404996560, 25.70, 99594.59, 39.71, 21783.53, 0, 0xb0
56, 1404996764, 25.70, 99595.75, 39.70, 21940.35, 0, 0xb0
57, 1404996967, 25.71, 99596.46, 39.68, 22099.45, 0, 0xb0
58, 1404997171, 25.71, 99595.10, 39.67, 22307.42, 0, 0xb0
59, 1404997374, 25.72, 99596.35, 39.65, 22448.26, 0, 0xb0
60, 1404997578, 25.72, 99596.66, 39.63, 22686.99, 0, 0xb0
61, 1404997782, 25.72, 99593.24, 39.63, 22881.66, 0, 0xb0
62, 1404997985, 25.73, 99593.03, 39.62, 22955.52, 0, 0xb0
63, 1404998189, 25.73, 99595.75, 39.62, 23529.41, 0, 0xb0
